Date,Time,Sport,Opponent,Level,Game Type
1/18/2023,3:00 PM,"Soccer, Girls",@El Modena,Frosh/Soph,League
1/18/2023,6:00 PM,Wrestling,@Brea Olinda,Varsity,League
1/18/2023,3:00 PM,"Soccer, Girls",@El Modena,Junior Varsity,League
1/19/2023,TBA,"Water Polo, Girls",TBA - Newport Invite,Varsity,Tournament
1/19/2023,3:00 PM,"Soccer, Boys",@Brea Olinda,Junior Varsity,League
1/19/2023,3:00 PM,"Soccer, Boys",@Brea Olinda,Frosh/Soph,League
1/19/2023,3:00 PM,"Soccer, Boys",@Brea Olinda,Varsity,League
1/20/2023,TBA,"Water Polo, Girls",TBA - Newport Invite,Varsity,Tournament
1/20/2023,TBA,"Water Polo, Girls",TBA - Newport Invite,Varsity,Tournament
1/20/2023,3:00 PM,"Basketball, Boys",Brea Olinda,Frosh/Soph,League
1/20/2023,3:15 PM,"Soccer, Girls",El Dorado,Varsity,League
1/20/2023,6:00 PM,"Basketball, Girls",Canyon/Anaheim,Frosh/Soph,League
1/20/2023,7:00 PM,"Basketball, Boys",@Brea Olinda,Varsity,League
1/20/2023,3:00 PM,"Soccer, Girls",El Dorado,Frosh/Soph,League
1/20/2023,5:30 PM,"Basketball, Girls",@Canyon/Anaheim,Varsity,League
1/20/2023,4:30 PM,"Basketball, Boys",Brea Olinda,Junior Varsity,League
1/20/2023,3:00 PM,"Soccer, Girls",El Dorado,Junior Varsity,League
1/20/2023,4:00 PM,"Basketball, Girls",@Canyon/Anaheim,Junior Varsity,League
1/21/2023,TBA,"Water Polo, Girls",TBA - Newport Invite,Varsity,Tournament
1/21/2023,TBA,"Water Polo, Girls",TBA - Newport Invite,Varsity,Tournament
1/24/2023,5:00 PM,"Water Polo, Girls",@El Dorado,Junior Varsity,League
1/24/2023,4:00 PM,"Water Polo, Girls",@El Dorado,Varsity,League
1/24/2023,5:00 PM,"Water Polo, Girls",@El Dorado,Junior Varsity,League
1/24/2023,4:00 PM,"Water Polo, Girls",@El Dorado,Varsity,League
1/24/2023,3:00 PM,"Soccer, Boys",Esperanza,Junior Varsity,League
1/24/2023,3:00 PM,"Basketball, Boys",@Yorba Linda,Frosh/Soph,League
1/24/2023,6:00 PM,"Basketball, Girls",@Esperanza,Frosh/Soph,League
1/24/2023,7:00 PM,"Basketball, Boys",Yorba Linda,Varsity,League
1/24/2023,3:00 PM,"Soccer, Boys",Esperanza,Frosh/Soph,League
1/24/2023,3:00 PM,"Water Polo, Girls",@El Dorado,Frosh/Soph,League
1/24/2023,5:30 PM,"Basketball, Girls",Esperanza,Varsity,League
1/24/2023,3:00 PM,"Soccer, Boys",Esperanza,Varsity,League
1/24/2023,4:30 PM,"Basketball, Boys",@Yorba Linda,Junior Varsity,League
1/24/2023,4:00 PM,"Basketball, Girls",Esperanza,Junior Varsity,League
1/25/2023,3:15 PM,"Soccer, Girls",@Yorba Linda,Varsity,League
1/25/2023,3:00 PM,"Soccer, Girls",@Yorba Linda,Frosh/Soph,League
1/25/2023,3:00 PM,"Soccer, Girls",@Yorba Linda,Junior Varsity,League
1/26/2023,3:00 PM,"Soccer, Boys",Canyon/Anaheim,Junior Varsity,League
1/26/2023,3:00 PM,"Soccer, Boys",Canyon/Anaheim,Frosh/Soph,League
1/26/2023,3:00 PM,"Soccer, Boys",Canyon/Anaheim,Varsity,League
1/27/2023,3:00 PM,"Basketball, Boys",@Canyon/Anaheim,Frosh/Soph,League
1/27/2023,6:00 PM,"Basketball, Girls",@Canyon/Anaheim,Frosh/Soph,League
1/27/2023,3:15 PM,"Soccer, Girls",@Esperanza,Varsity,League
1/27/2023,7:00 PM,"Basketball, Boys",Canyon/Anaheim,Varsity,League
1/27/2023,5:30 PM,"Basketball, Girls",Canyon/Anaheim,Varsity,League
1/27/2023,3:00 PM,"Soccer, Girls",@Esperanza,Frosh/Soph,League
1/27/2023,4:30 PM,"Basketball, Boys",@Canyon/Anaheim,Junior Varsity,League
1/27/2023,4:00 PM,"Basketball, Girls",Canyon/Anaheim,Junior Varsity,League
1/27/2023,3:00 PM,"Soccer, Girls",@Esperanza,Junior Varsity,League
1/30/2023,3:00 PM,"Soccer, Boys",@Villa Park,Junior Varsity,League
1/30/2023,3:15 PM,"Soccer, Girls",Brea Olinda,Varsity,League
1/30/2023,3:00 PM,"Soccer, Boys",@Villa Park,Frosh/Soph,League
1/30/2023,3:00 PM,"Soccer, Girls",Brea Olinda,Frosh/Soph,League
1/30/2023,3:00 PM,"Soccer, Boys",@Villa Park,Varsity,League
1/30/2023,3:00 PM,"Soccer, Girls",Brea Olinda,Junior Varsity,League
1/31/2023,4:00 PM,"Water Polo, Girls",@Villa Park,Varsity,League
1/31/2023,5:00 PM,"Water Polo, Girls",@Villa Park,Junior Varsity,League
1/31/2023,5:00 PM,"Water Polo, Girls",@Villa Park,Junior Varsity,League
1/31/2023,4:00 PM,"Water Polo, Girls",@Villa Park,Varsity,League
1/31/2023,3:00 PM,"Basketball, Boys",Villa Park,Frosh/Soph,League
1/31/2023,6:00 PM,"Basketball, Girls",Villa Park,Frosh/Soph,League
1/31/2023,7:00 PM,"Basketball, Boys",@Villa Park,Varsity,League
1/31/2023,3:00 PM,"Water Polo, Girls",@Villa Park,Frosh/Soph,League
1/31/2023,5:30 PM,"Basketball, Girls",@Villa Park,Varsity,League
1/31/2023,4:30 PM,"Basketball, Boys",Villa Park,Junior Varsity,League
1/31/2023,4:00 PM,"Basketball, Girls",@Villa Park,Junior Varsity,League
2/1/2023,3:00 PM,"Soccer, Girls",El Modena,Junior Varsity,League
2/1/2023,3:00 PM,"Soccer, Boys",El Dorado,Junior Varsity,League
2/1/2023,3:15 PM,"Soccer, Girls",El Modena,Varsity,League
2/1/2023,3:00 PM,"Soccer, Boys",El Dorado,Frosh/Soph,League
2/1/2023,3:00 PM,"Soccer, Girls",El Modena,Frosh/Soph,League
2/1/2023,3:00 PM,"Soccer, Boys",El Dorado,Varsity,League
2/2/2023,4:00 PM,"Basketball, Girls",@Yorba Linda,Junior Varsity,League
2/2/2023,3:00 PM,"Basketball, Boys",Yorba Linda,Frosh/Soph,League
2/2/2023,6:00 PM,"Basketball, Girls",Yorba Linda,Frosh/Soph,League
2/2/2023,7:00 PM,"Basketball, Boys",@Yorba Linda,Varsity,League
2/2/2023,5:30 PM,"Basketball, Girls",@Yorba Linda,Varsity,League
2/2/2023,4:30 PM,"Basketball, Boys",Yorba Linda,Junior Varsity,League
2/28/2023,3:15 PM,"Volleyball, Boys",@Villa Park,Frosh/Soph,League
2/28/2023,6:00 PM,"Volleyball, Boys",@Villa Park,Varsity,League
2/28/2023,4:30 PM,"Volleyball, Boys",@Villa Park,Junior Varsity,League
3/1/2023,3:15 PM,Baseball,Esperanza,Frosh/Soph,League
3/1/2023,3:00 PM,"Swimming & Diving, Girls",@El Dorado,Varsity,League
3/1/2023,3:00 PM,"Swimming & Diving, Girls",@El Dorado,Junior Varsity,League
3/1/2023,3:00 PM,"Swimming & Diving, Boys",@El Dorado,Open,League
3/1/2023,3:00 PM,"Swimming & Diving, Girls",@El Dorado,Open,League
3/1/2023,3:00 PM,"Swimming & Diving, Boys",@El Dorado,Junior Varsity,League
3/1/2023,3:00 PM,"Swimming & Diving, Boys",@El Dorado,Varsity,League
3/1/2023,3:15 PM,Baseball,@Esperanza,Varsity,League
3/1/2023,3:15 PM,Baseball,Esperanza,Junior Varsity,League
3/2/2023,3:15 PM,"Volleyball, Boys",Esperanza,Frosh/Soph,League
3/2/2023,6:00 PM,"Volleyball, Boys",Esperanza,Varsity,League
3/2/2023,4:30 PM,"Volleyball, Boys",Esperanza,Junior Varsity,League
3/3/2023,3:15 PM,Baseball,@Yorba Linda,Frosh/Soph,League
3/3/2023,3:15 PM,Baseball,Yorba Linda,Varsity,League
3/3/2023,3:15 PM,Baseball,@Yorba Linda,Junior Varsity,League
3/7/2023,3:00 PM,"Tennis, Boys",@El Modena,Varsity,League
3/7/2023,3:15 PM,"Volleyball, Boys",@El Dorado,Frosh/Soph,League
3/7/2023,3:00 PM,"Tennis, Boys",El Modena,Junior Varsity,League
3/7/2023,6:00 PM,"Volleyball, Boys",@El Dorado,Varsity,League
3/7/2023,TBA,"Lacrosse, Girls",Canyon/Anaheim,Junior Varsity,League
3/7/2023,3:15 PM,Softball,@Esperanza,Junior Varsity,Non-League
3/7/2023,TBA,"Lacrosse, Girls",Canyon/Anaheim,Varsity,League
3/7/2023,4:30 PM,"Volleyball, Boys",@El Dorado,Junior Varsity,League
3/7/2023,3:15 PM,Softball,@Esperanza,Varsity,Non-League
3/8/2023,3:00 PM,"Swimming & Diving, Girls",El Modena,Varsity,League
3/8/2023,3:15 PM,Baseball,Canyon/Anaheim,Frosh/Soph,League
3/8/2023,3:00 PM,"Swimming & Diving, Girls",El Modena,Junior Varsity,League
3/8/2023,3:00 PM,"Swimming & Diving, Boys",El Modena,Open,League
3/8/2023,3:00 PM,"Swimming & Diving, Girls",El Modena,Open,League
3/8/2023,3:00 PM,"Swimming & Diving, Boys",El Modena,Junior Varsity,League
3/8/2023,3:00 PM,"Swimming & Diving, Boys",El Modena,Varsity,League
3/8/2023,3:15 PM,Baseball,@Canyon/Anaheim,Varsity,League
3/8/2023,3:15 PM,Baseball,Canyon/Anaheim,Junior Varsity,League
3/9/2023,3:00 PM,"Tennis, Boys",El Dorado,Varsity,League
3/9/2023,3:15 PM,"Volleyball, Boys",Brea Olinda,Frosh/Soph,League
3/9/2023,TBA,"Lacrosse, Boys",Canyon/Anaheim,Junior Varsity,League
3/9/2023,6:00 PM,"Volleyball, Boys",Brea Olinda,Varsity,League
3/9/2023,3:00 PM,"Tennis, Boys",@El Dorado,Junior Varsity,League
3/9/2023,3:15 PM,Softball,@Canyon/Anaheim,Junior Varsity,Non-League
3/9/2023,4:30 PM,"Volleyball, Boys",Brea Olinda,Junior Varsity,League
3/9/2023,3:15 PM,Softball,Canyon/Anaheim,Varsity,Non-League
3/10/2023,3:15 PM,Baseball,@Brea Olinda,Frosh/Soph,League
3/10/2023,3:15 PM,Baseball,Brea Olinda,Varsity,League
3/10/2023,3:15 PM,Baseball,@Brea Olinda,Junior Varsity,League
3/14/2023,3:15 PM,Softball,@El Modena,Varsity,Non-League
3/14/2023,3:00 PM,"Tennis, Boys",@Brea Olinda,Varsity,League
3/14/2023,3:15 PM,"Volleyball, Boys",@El Modena,Frosh/Soph,League
3/14/2023,3:00 PM,"Tennis, Boys",Brea Olinda,Junior Varsity,League
3/14/2023,6:00 PM,"Volleyball, Boys",@El Modena,Varsity,League
3/14/2023,TBA,"Lacrosse, Girls",@Yorba Linda,Junior Varsity,League
3/14/2023,3:15 PM,Softball,@El Modena,Junior Varsity,Non-League
3/14/2023,TBA,"Lacrosse, Girls",@Yorba Linda,Varsity,League
3/14/2023,4:30 PM,"Volleyball, Boys",@El Modena,Junior Varsity,League
3/15/2023,3:00 PM,"Swimming & Diving, Girls",Brea Olinda,Varsity,League
3/15/2023,3:00 PM,"Swimming & Diving, Girls",Brea Olinda,Junior Varsity,League
3/15/2023,3:00 PM,"Swimming & Diving, Boys",Brea Olinda,Open,League
3/15/2023,3:00 PM,"Swimming & Diving, Girls",Brea Olinda,Open,League
3/15/2023,3:00 PM,"Swimming & Diving, Boys",Brea Olinda,Junior Varsity,League
3/15/2023,3:00 PM,"Swimming & Diving, Boys",Brea Olinda,Varsity,League
3/16/2023,3:15 PM,Softball,Brea Olinda,Varsity,League
3/16/2023,3:15 PM,"Volleyball, Boys",Canyon/Anaheim,Frosh/Soph,League
3/16/2023,3:00 PM,"Tennis, Boys",Esperanza,Varsity,League
3/16/2023,TBA,"Lacrosse, Boys",@Yorba Linda,Junior Varsity,League
3/16/2023,6:00 PM,"Volleyball, Boys",Canyon/Anaheim,Varsity,League
3/16/2023,3:00 PM,"Tennis, Boys",@Esperanza,Junior Varsity,League
3/16/2023,3:15 PM,Softball,Brea Olinda,Junior Varsity,League
3/16/2023,4:30 PM,"Volleyball, Boys",Canyon/Anaheim,Junior Varsity,League
3/17/2023,3:15 PM,Baseball,Villa Park,Frosh/Soph,League
3/17/2023,3:15 PM,Baseball,@Villa Park,Varsity,League
3/17/2023,3:15 PM,Baseball,Villa Park,Junior Varsity,League
3/22/2023,3:15 PM,Baseball,@El Modena,Frosh/Soph,League
3/22/2023,3:15 PM,Baseball,El Modena,Varsity,League
3/22/2023,3:15 PM,Baseball,@El Modena,Junior Varsity,League
3/24/2023,3:15 PM,Baseball,El Dorado,Frosh/Soph,League
3/24/2023,3:15 PM,Baseball,@El Dorado,Varsity,League
3/24/2023,3:15 PM,Baseball,El Dorado,Junior Varsity,League
3/28/2023,3:15 PM,Softball,Yorba Linda,Varsity,League
3/28/2023,3:15 PM,Baseball,@Villa Park,Frosh/Soph,League
3/28/2023,3:15 PM,Softball,Yorba Linda,Junior Varsity,League
3/28/2023,3:15 PM,Baseball,Villa Park,Varsity,League
3/28/2023,3:15 PM,Baseball,@Villa Park,Junior Varsity,League
3/30/2023,3:00 PM,"Track & Field, Boys",Esperanza,Varsity,League
3/30/2023,3:00 PM,"Track & Field, Girls",Esperanza,Frosh/Soph,League
3/30/2023,3:00 PM,"Track & Field, Girls",Esperanza,Junior Varsity,League
3/30/2023,3:00 PM,"Track & Field, Girls",Esperanza,Varsity,League
3/30/2023,3:00 PM,"Track & Field, Boys",Esperanza,Frosh/Soph,League
3/30/2023,3:00 PM,"Track & Field, Boys",Esperanza,Junior Varsity,League
3/30/2023,3:15 PM,Baseball,Villa Park,Junior Varsity,League
3/30/2023,3:15 PM,Softball,@El Dorado,Varsity,League
3/30/2023,3:15 PM,Baseball,Villa Park,Frosh/Soph,League
3/30/2023,3:15 PM,Softball,@El Dorado,Junior Varsity,League
3/30/2023,3:15 PM,Baseball,@Villa Park,Varsity,League
4/4/2023,3:15 PM,Softball,Villa Park,Varsity,Non-League
4/4/2023,3:15 PM,Softball,Villa Park,Junior Varsity,Non-League
4/6/2023,3:00 PM,"Track & Field, Boys",El Modena,Varsity,League
4/6/2023,3:00 PM,"Track & Field, Girls",El Modena,Frosh/Soph,League
4/6/2023,3:00 PM,"Track & Field, Girls",El Modena,Junior Varsity,League
4/6/2023,3:00 PM,"Track & Field, Girls",El Modena,Varsity,League
4/6/2023,3:00 PM,"Track & Field, Boys",El Modena,Frosh/Soph,League
4/6/2023,3:00 PM,"Track & Field, Boys",El Modena,Junior Varsity,League
4/11/2023,3:15 PM,Softball,El Dorado,Varsity,League
4/11/2023,3:00 PM,"Tennis, Boys",@Yorba Linda,Varsity,League
4/11/2023,3:15 PM,"Volleyball, Boys",@Yorba Linda,Frosh/Soph,League
4/11/2023,TBA,"Lacrosse, Girls",@Esperanza,Junior Varsity,League
4/11/2023,3:00 PM,"Tennis, Boys",Yorba Linda,Junior Varsity,League
4/11/2023,6:00 PM,"Volleyball, Boys",@Yorba Linda,Varsity,League
4/11/2023,TBA,"Lacrosse, Girls",@Esperanza,Varsity,League
4/11/2023,3:15 PM,Softball,El Dorado,Junior Varsity,League
4/11/2023,4:30 PM,"Volleyball, Boys",@Yorba Linda,Junior Varsity,League
4/12/2023,3:00 PM,"Swimming & Diving, Girls",@Esperanza,Varsity,League
4/12/2023,3:00 PM,"Swimming & Diving, Girls",@Esperanza,Junior Varsity,League
4/12/2023,3:00 PM,"Swimming & Diving, Boys",@Esperanza,Open,League
4/12/2023,3:00 PM,"Swimming & Diving, Girls",@Esperanza,Open,League
4/12/2023,3:00 PM,"Swimming & Diving, Boys",@Esperanza,Junior Varsity,League
4/12/2023,3:00 PM,"Swimming & Diving, Boys",@Esperanza,Varsity,League
4/13/2023,3:00 PM,"Track & Field, Boys",@El Dorado,Junior Varsity,League
4/13/2023,4:30 PM,"Volleyball, Boys",El Modena,Junior Varsity,League
4/13/2023,3:00 PM,"Track & Field, Boys",@El Dorado,Varsity,League
4/13/2023,3:15 PM,Softball,@Yorba Linda,Varsity,League
4/13/2023,3:00 PM,"Tennis, Boys",@Villa Park,Varsity,League
4/13/2023,3:15 PM,"Volleyball, Boys",El Modena,Frosh/Soph,League
4/13/2023,TBA,"Lacrosse, Boys",@Esperanza,Junior Varsity,League
4/13/2023,3:00 PM,"Tennis, Boys",Villa Park,Junior Varsity,League
4/13/2023,6:00 PM,"Volleyball, Boys",El Modena,Varsity,League
4/13/2023,3:00 PM,"Track & Field, Girls",@El Dorado,Frosh/Soph,League
4/13/2023,3:00 PM,"Track & Field, Girls",@El Dorado,Junior Varsity,League
4/13/2023,3:15 PM,Softball,@Yorba Linda,Junior Varsity,League
4/13/2023,3:00 PM,"Track & Field, Girls",@El Dorado,Varsity,League
4/13/2023,3:00 PM,"Track & Field, Boys",@El Dorado,Frosh/Soph,League
4/17/2023,4:30 PM,"Volleyball, Boys",@Canyon/Anaheim,Junior Varsity,League
4/17/2023,3:15 PM,"Volleyball, Boys",@Canyon/Anaheim,Frosh/Soph,League
4/17/2023,6:00 PM,"Volleyball, Boys",@Canyon/Anaheim,Varsity,League
4/18/2023,3:15 PM,Softball,@Brea Olinda,Varsity,League
4/18/2023,3:00 PM,"Tennis, Boys",Canyon/Anaheim,Varsity,League
4/18/2023,TBA,"Lacrosse, Girls",El Modena,Junior Varsity,League
4/18/2023,3:00 PM,"Tennis, Boys",@Canyon/Anaheim,Junior Varsity,League
4/18/2023,TBA,"Lacrosse, Girls",El Modena,Varsity,League
4/18/2023,3:15 PM,Softball,@Brea Olinda,Junior Varsity,League
4/19/2023,3:15 PM,Baseball,@El Modena,Varsity,League
4/19/2023,3:15 PM,Baseball,El Modena,Junior Varsity,League
4/19/2023,4:30 PM,"Volleyball, Boys",Yorba Linda,Junior Varsity,League
4/19/2023,3:00 PM,"Swimming & Diving, Girls",@Canyon/Anaheim,Varsity,League
4/19/2023,3:15 PM,"Volleyball, Boys",Yorba Linda,Frosh/Soph,League
4/19/2023,3:15 PM,Baseball,El Modena,Frosh/Soph,League
4/19/2023,3:00 PM,"Swimming & Diving, Girls",@Canyon/Anaheim,Junior Varsity,League
4/19/2023,3:00 PM,"Swimming & Diving, Boys",@Canyon/Anaheim,Open,League
4/19/2023,3:00 PM,"Swimming & Diving, Girls",@Canyon/Anaheim,Open,League
4/19/2023,3:00 PM,"Swimming & Diving, Boys",@Canyon/Anaheim,Junior Varsity,League
4/19/2023,6:00 PM,"Volleyball, Boys",Yorba Linda,Varsity,League
4/19/2023,3:00 PM,"Swimming & Diving, Boys",@Canyon/Anaheim,Varsity,League
4/20/2023,3:15 PM,Softball,@El Dorado,Varsity,League
4/20/2023,3:00 PM,"Tennis, Boys",Yorba Linda,Varsity,League
4/20/2023,TBA,"Lacrosse, Boys",El Modena,Junior Varsity,League
4/20/2023,3:00 PM,"Tennis, Boys",@Yorba Linda,Junior Varsity,League
4/20/2023,3:15 PM,Softball,@El Dorado,Junior Varsity,League
4/21/2023,3:15 PM,Baseball,El Modena,Varsity,League
4/21/2023,3:15 PM,Baseball,@El Modena,Junior Varsity,League
4/21/2023,3:15 PM,Baseball,@El Modena,Frosh/Soph,League
4/24/2023,3:15 PM,Softball,Yorba Linda,Varsity,League
4/24/2023,3:15 PM,Softball,Yorba Linda,Junior Varsity,League
4/25/2023,3:15 PM,Baseball,El Dorado,Varsity,League
4/25/2023,3:15 PM,Baseball,@El Dorado,Junior Varsity,League
4/25/2023,3:00 PM,"Tennis, Boys",Villa Park,Varsity,League
4/25/2023,3:15 PM,Baseball,@El Dorado,Frosh/Soph,League
4/25/2023,TBA,"Lacrosse, Girls",@El Dorado,Junior Varsity,League
4/25/2023,3:00 PM,"Tennis, Boys",@Villa Park,Junior Varsity,League
4/25/2023,TBA,"Lacrosse, Girls",@El Dorado,Varsity,League
4/26/2023,3:15 PM,Softball,Brea Olinda,Varsity,League
4/26/2023,TBA,"Lacrosse, Boys",@El Dorado,Junior Varsity,League
4/26/2023,3:15 PM,Softball,Brea Olinda,Junior Varsity,League
4/27/2023,3:15 PM,Baseball,@El Dorado,Varsity,League
4/27/2023,3:15 PM,Baseball,El Dorado,Junior Varsity,League
4/27/2023,3:00 PM,"Tennis, Boys",@Canyon/Anaheim,Varsity,League
4/27/2023,3:15 PM,Baseball,El Dorado,Frosh/Soph,League
4/27/2023,3:00 PM,"Tennis, Boys",Canyon/Anaheim,Junior Varsity,League
