Date,Event
4/21/2023,CAASPP Testing - Block Scheduling
4/24/2023,Awards of Excellence
4/26/2023,Springfest @ Lunch
4/26/2023,ATA: Knights of the Originals - 7 pm nightly
4/27/2023,ATA: Knights of the Originals - 7 pm nightly
4/28/2023,ATA: Knights of the Originals - 7 pm nightly
4/29/2023,ATA: Knights of the Originals - 7 pm nightly
4/30/2023,ATA: Knights of the Originals - 7 pm nightly
5/1/2023,AP Testing
5/1/2023,College Acceptance Day
5/2/2023,AP Testing
5/3/2023,AP Testing
5/3/2023,ICC Meeting @ Lunch
5/4/2023,AP Testing
5/5/2023,AP Testing
5/5/2023,Band - Spring Concert - 7 pm
5/5/2023,IB Testing Window
5/6/2023,AP Testing
5/6/2023,IB Testing Window
5/7/2023,AP Testing
5/7/2023,IB Testing Window
5/8/2023,AP Testing
5/8/2023,IB Testing Window
5/9/2023,AP Testing
5/9/2023,IB Testing Window
5/10/2023,AP Testing
5/10/2023,IB Testing Window
5/11/2023,AP Testing
5/11/2023,IB Testing Window
5/12/2023,AP Testing
5/12/2023,IB Testing Window
5/13/2023,IB Testing Window
5/14/2023,IB Testing Window
5/15/2023,IB Testing Window
5/16/2023,IB Testing Window
5/17/2023,IB Testing Window
5/18/2023,IB Testing Window
5/19/2023,IB Testing Window
5/24/2023,Senior Finals
5/25/2023,Senior Finals
5/25/2023,Senior Awards Night
5/26/2023,Senior Reflections
5/29/2023,Memorial Day - No School
5/30/2023,Minimum Day
5/30/2023,Graduation Practice
5/31/2023,Spring Final Exams
5/31/2023,Senior Picnic
5/31/2023,Senior Bowling Knight
6/1/2023,Spring Final Exams
6/1/2023,Graduation - 6 pm
6/2/2023,Spring Final Exams
6/2/2023,Last Day of School
